Company,FiscalYear,FiscalYearAD,y_true_delta,y_pred_mean,y_pred_variance,y_pred_std
ADBL,2074/2075,2017/2018,-0.29,0.23518641358686498,0.14385638879150928,0.3792840476364769
ADBL,2075/2076,2018/2019,-0.1899999999999999,0.3050084299453109,0.08966815433668279,0.2994464131304344
ADBL,2076/2077,2019/2020,-0.8699999999999999,0.2889129812039408,0.09069414441337457,0.30115468519246813
ADBL,2077/2078,2020/2021,-0.1600000000000001,0.025496084767006433,0.08754217385121463,0.29587526738680714
ADBL,2078/2079,2021/2022,0.8,0.09415364184169496,0.09380795057205087,0.3062808361162201
ADBL,2079/2080,2022/2023,0.96,0.16767571682612897,0.06586771382347445,0.25664706081207017
ADBL,2080/2081,2023/2024,-0.1800000000000001,0.022307230417068225,0.0654130366178493,0.2557597243857001
ADBL,2081/2082,2024/2025,1.5200000000000005,-0.25172004690820643,0.2038169741821475,0.45146093317378805
EBL,2074/2075,2017/2018,-0.04,0.15169181698201534,0.04347494592718088,0.20850646495296227
EBL,2075/2076,2018/2019,0.06,-0.021380304549770357,0.036236008594883906,0.19035758087053928
EBL,2076/2077,2019/2020,-0.1,0.270419565662927,0.07050523859945826,0.26552822561727457
EBL,2077/2078,2020/2021,0.12,0.33150649263734266,0.11350093508350331,0.336898998341496
EBL,2078/2079,2021/2022,0.55,-0.010170150688894819,0.06388433108372495,0.2527534986577336
EBL,2079/2080,2022/2023,-0.08,0.369765791354653,0.05183609431347942,0.2276754143808229
EBL,2080/2081,2023/2024,-0.3299999999999999,0.1926731119868598,0.021940831678414662,0.14812437908195483
EBL,2081/2082,2024/2025,0.36,0.2420819354179371,0.08688649659774145,0.2947651549924812
GBIME,2074/2075,2017/2018,-0.1399999999999999,0.4073837135646012,0.10325126590663439,0.32132735007564234
GBIME,2075/2076,2018/2019,1.26,0.19389726279910283,0.04715473313321353,0.2171514060125182
GBIME,2076/2077,2019/2020,-0.3900000000000001,0.19332409433485065,0.03929887115054892,0.19823942884943177
GBIME,2077/2078,2020/2021,-0.1999999999999999,0.0017922149496190087,0.07404161912526207,0.2721058968954221
GBIME,2078/2079,2021/2022,1.86,0.2102586732472448,0.04350916229056833,0.20858849990008638
GBIME,2079/2080,2022/2023,1.29,0.5131746004014204,0.10032670623953319,0.3167439127110941
GBIME,2080/2081,2023/2024,0.5,-0.0025610731164046885,0.07819971304879339,0.2796421160140106
GBIME,2081/2082,2024/2025,0.1100000000000003,0.10332087792125261,0.2344227631151155,0.48417224529615027
HBL,2074/2075,2017/2018,0.1400000000000001,0.4157949018339221,0.03761214194222223,0.19393850041243033
HBL,2075/2076,2018/2019,-0.1100000000000001,0.04154002182543903,0.053217056618415984,0.23068822383991772
HBL,2076/2077,2019/2020,-0.53,0.2864737324945574,0.08233165369912052,0.28693492938142007
HBL,2077/2078,2020/2021,0.29,-0.03994652840611096,0.07516829889876563,0.2741683769123741
HBL,2078/2079,2021/2022,3.8,0.22763795968851824,0.0648148411989479,0.2545875904260612
HBL,2079/2080,2022/2023,0.3399999999999998,0.6398473616333296,0.13156978921330836,0.3627255011896853
HBL,2080/2081,2023/2024,2.37,0.31574014923818244,0.0704438955003931,0.265412689034253
HBL,2081/2082,2024/2025,0.1099999999999994,0.34411966018521384,0.27549436236531544,0.5248755684591496
NABIL,2074/2075,2017/2018,0.1899999999999999,0.09922260956444512,0.05810314034996078,0.2410459299593353
NABIL,2075/2076,2018/2019,0.2299999999999999,-0.104365025160497,0.04074703191946716,0.20185894064783744
NABIL,2076/2077,2019/2020,-0.1899999999999999,0.28788030313107105,0.07625774905207307,0.27614805639742074
NABIL,2077/2078,2020/2021,0.76,0.17956850414178427,0.04977678949471789,0.22310712560274243
NABIL,2078/2079,2021/2022,1.66,-0.10553480562525208,0.050510722972372364,0.2247459075764726
NABIL,2079/2080,2022/2023,0.6499999999999999,1.001000638247675,0.10784525467668539,0.3283980125955171
NABIL,2080/2081,2023/2024,-2.9000000000000004,0.5593080203287285,0.05884862112386367,0.2425873474109144
NABIL,2081/2082,2024/2025,0.02,0.12301801747939162,0.09083857340724241,0.30139438184419165
NICA,2074/2075,2017/2018,0.4,0.4310460352771547,0.1475481891392633,0.38412001918575306
NICA,2075/2076,2018/2019,0.29,0.1571181689696508,0.07324835869822545,0.27064433985994507
NICA,2076/2077,2019/2020,-0.29,0.23583864655363257,0.05124227077617423,0.22636755681010085
NICA,2077/2078,2020/2021,0.0299999999999999,-0.0445900702740068,0.07044423865488818,0.26541333548804247
NICA,2078/2079,2021/2022,0.31,0.2511251714380889,0.034780391056840713,0.1864950161715876
NICA,2079/2080,2022/2023,0.94,0.5957499547666183,0.06122841845889269,0.2474437682765373
NICA,2080/2081,2023/2024,0.1300000000000001,0.07400288002465344,0.0974593932287153,0.3121848702751549
NICA,2081/2082,2024/2025,2.37,-0.49061433335620513,0.1053210656007905,0.32453207175992715
NMB,2074/2075,2017/2018,-0.06,0.5002348692623085,0.09716349540341297,0.3117105955905461
NMB,2075/2076,2018/2019,1.8600000000000003,0.0745274224739485,0.03733159246330105,0.1932138516341441
NMB,2076/2077,2019/2020,-0.4100000000000001,0.24084772885867148,0.05276625726016823,0.22970907091398945
NMB,2077/2078,2020/2021,-0.94,-0.13200193209493877,0.06966921810753607,0.2639492718450575
NMB,2078/2079,2021/2022,1.39,0.10612745381970165,0.051605860133466665,0.22716923236535944
NMB,2079/2080,2022/2023,0.5499999999999998,0.5120491722404878,0.09476515841331351,0.3078395010607208
NMB,2080/2081,2023/2024,0.4500000000000002,0.5936185932278497,0.0632143363200568,0.25142461359233864
NMB,2081/2082,2024/2025,0.8599999999999999,-0.0010125193630414753,0.19210890900581873,0.4383023032175609
PCBL,2074/2075,2017/2018,0.26,0.4839290030362091,0.07234532038594985,0.26897085415700683
PCBL,2075/2076,2018/2019,0.62,0.21183479736244837,0.03547614679771424,0.18835112635106338
PCBL,2076/2077,2019/2020,-0.3500000000000001,0.1831889104930174,0.03470945881845395,0.18630474717100998
PCBL,2077/2078,2020/2021,0.2099999999999999,-0.16856296197384874,0.05140206486700873,0.22672023479832745
PCBL,2078/2079,2021/2022,2.8300000000000005,0.47351196473638685,0.03970952837594934,0.1992724977912139
PCBL,2079/2080,2022/2023,0.4399999999999995,0.799167488080064,0.1437649231155149,0.3791634517137891
PCBL,2080/2081,2023/2024,0.8899999999999997,0.4997656171921676,0.06601054652177316,0.2569251768935329
PCBL,2081/2082,2024/2025,0.3000000000000007,0.38335749001572517,0.2228269448737058,0.472045490258837
SANIMA,2074/2075,2017/2018,0.05,0.5643373284523051,0.09638908696333541,0.3104659191655912
SANIMA,2075/2076,2018/2019,0.3999999999999999,0.16714313886591387,0.06534273054306808,0.255622241878652
SANIMA,2076/2077,2019/2020,-0.3199999999999999,0.17446160990073611,0.03560875965853543,0.1887028342620625
SANIMA,2077/2078,2020/2021,0.1899999999999999,0.09612435792051865,0.07632218969078533,0.2762647094559588
SANIMA,2078/2079,2021/2022,0.95,0.26410914644252065,0.045941566782085004,0.21433983946547364
SANIMA,2079/2080,2022/2023,0.4299999999999999,0.09839522375518242,0.0495556773547556,0.2226110449972229
SANIMA,2080/2081,2023/2024,-0.52,0.2521456820896736,0.036147765865409236,0.1901256580932969
SANIMA,2081/2082,2024/2025,0.3700000000000001,-0.016787188786392737,0.06547801780106484,0.2558867284582474
SCB,2074/2075,2017/2018,-0.03,0.2135558035456021,0.09014479937701146,0.3002412353042324
SCB,2075/2076,2018/2019,0.29,0.0038634072935461172,0.04294780892561504,0.20723853146945198
SCB,2076/2077,2019/2020,0.52,0.30402344186918356,0.08467473626354059,0.290989237367193
SCB,2077/2078,2020/2021,-0.37,0.30977202551407745,0.0939704942383588,0.30654607196693745
SCB,2078/2079,2021/2022,0.58,0.11088171223687932,0.07622143515319779,0.27608229779034693
SCB,2079/2080,2022/2023,0.9700000000000002,0.017189662865365662,0.03327651090175274,0.18241850482270908
SCB,2080/2081,2023/2024,-0.6700000000000002,0.11036767023551752,0.06343049418429994,0.2518541128993131
SCB,2081/2082,2024/2025,0.24,-0.053142193673285654,0.16014573503543478,0.40018212733133746
