Company,FiscalYear,y_true,Fundamental_Outlook,Risk_Flag,R4_fired,generated_sentence
ADBL,2074/2075,0,0.5641783642052003,0.575998386440049,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
ADBL,2075/2076,0,0.570074929591027,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
ADBL,2076/2077,0,0.5639637910772477,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
ADBL,2077/2078,0,0.5551544804145523,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
ADBL,2078/2079,1,0.5198336932464488,0.7017827414262681,True,Fundamentals are mixed: Liquidity-pressure building is offset by Funding pressure easing. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
ADBL,2079/2080,1,0.6358180017972933,0.3719150428509323,False,Fundamentals are mixed: Margin expansion is offset by Liquidity-pressure reducing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended.
ADBL,2080/2081,0,0.6535747927237926,0.3686217550063002,False,"Fundamentals are strong, supported by Margin expansion. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
ADBL,2081/2082,1,0.5497965157397383,0.5,True,Fundamentals are mixed: no clear positive fundamental signal is offset by Liquidity-pressure reducing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
EBL,2074/2075,0,0.6865994643910409,0.5748562941424542,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high."
EBL,2075/2076,0,0.6987486740659292,0.3683324283003362,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high."
EBL,2076/2077,0,0.6024282770763711,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
EBL,2077/2078,0,0.5,0.5,True,Fundamentals are mixed: no clear positive fundamental signal is offset by Margin compression. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
EBL,2078/2079,1,0.6934077299436816,0.7053585177452221,False,"Fundamentals are strong, supported by Liquidity-pressure building. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence is moderate; supplementary review is recommended."
EBL,2079/2080,0,0.4339790854519175,0.6532408922018148,False,Fundamentals are mixed: Margin expansion is offset by Capital pressure building. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence is moderate; supplementary review is recommended.
EBL,2080/2081,0,0.7017881862483863,0.3749228161229914,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
EBL,2081/2082,0,0.5348645785555195,0.5,True,Fundamentals are mixed: no clear positive fundamental signal is offset by Liquidity-pressure reducing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
GBIME,2074/2075,0,0.5483164110102763,0.5580602134570811,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
GBIME,2075/2076,1,0.661616728684114,0.5916607682155985,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high."
GBIME,2076/2077,0,0.6542490475408617,0.6033382826717298,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high."
GBIME,2077/2078,0,0.544635243623973,0.5,True,Fundamentals are mixed: no clear positive fundamental signal is offset by Funding pressure easing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended.
GBIME,2078/2079,1,0.4974628846196652,0.7053282672574466,False,Fundamentals are mixed: Liquidity-pressure building is offset by Margin compression. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence in this assessment is high.
GBIME,2079/2080,1,0.4569636854275947,0.6470927390568513,True,Fundamentals are mixed: Funding pressure rising is offset by Capital pressure building. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
GBIME,2080/2081,0,0.590686886294119,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
GBIME,2081/2082,0,0.6312279559138856,0.3682748491916316,False,Fundamentals are mixed: Margin expansion is offset by Liquidity-pressure reducing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
HBL,2074/2075,0,0.4160669833510025,0.7001002349982918,False,Fundamentals are mixed: Capital cushion strengthening is offset by Liquidity-pressure reducing. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence in this assessment is high.
HBL,2075/2076,0,0.6953444819135363,0.3682987347238573,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
HBL,2076/2077,0,0.5811732803054863,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
HBL,2077/2078,0,0.6005391853597152,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
HBL,2078/2079,1,0.4538593741936737,0.6685933605496006,False,Fundamentals are mixed: Capital cushion strengthening is offset by Margin compression. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence is moderate; supplementary review is recommended.
HBL,2079/2080,0,0.5210261844844144,0.5,True,Fundamentals are mixed: no clear positive fundamental signal is offset by Capital pressure building. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
HBL,2080/2081,1,0.5936264179095881,0.5503225439017989,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
HBL,2081/2082,0,0.6150172865525987,0.6261463018566056,False,Fundamentals are mixed: Capital cushion strengthening is offset by Margin compression. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
NABIL,2074/2075,0,0.6745459652349849,0.5522259395503973,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
NABIL,2075/2076,0,0.696585521539008,0.3700283310622818,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high."
NABIL,2076/2077,0,0.5930931555277015,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
NABIL,2077/2078,1,0.5996870051600965,0.5741956664416558,False,Fundamentals are mixed: no clear positive fundamental signal is offset by Liquidity-pressure reducing. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high.
NABIL,2078/2079,1,0.4232622981288484,0.7054907837083663,False,Fundamentals are mixed: Liquidity-pressure building is offset by Margin compression. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence in this assessment is high.
NABIL,2079/2080,1,0.5248500397046152,0.5,True,Fundamentals are mixed: Capital cushion strengthening is offset by no material downside attribution. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
NABIL,2080/2081,0,0.6269956040082851,0.6203775751963273,False,Fundamentals are mixed: Capital cushion strengthening is offset by Funding pressure easing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended.
NABIL,2081/2082,0,0.529552586438594,0.685170415402998,True,Fundamentals are mixed: Capital cushion strengthening is offset by Funding pressure easing. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
NICA,2074/2075,0,0.5647572161708991,0.5677138475630464,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
NICA,2075/2076,0,0.6004061800590105,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
NICA,2076/2077,0,0.6393889875265193,0.5996704662784939,False,Fundamentals are mixed: Capital cushion strengthening is offset by Funding pressure easing. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high.
NICA,2077/2078,0,0.5466750089081368,0.5,True,Fundamentals are mixed: no clear positive fundamental signal is offset by Funding pressure easing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended.
NICA,2078/2079,0,0.3342306462470112,0.7054534281941959,False,"Fundamentals indicate weakening, driven by Capital pressure building. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence in this assessment is high."
NICA,2079/2080,1,0.3529570767115895,0.6514342385519699,False,Fundamentals are mixed: Margin expansion is offset by Capital pressure building. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence is moderate; supplementary review is recommended.
NICA,2080/2081,0,0.5634182558945853,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
NICA,2081/2082,1,0.5302861532258886,0.5,True,Fundamentals are mixed: no clear positive fundamental signal is offset by Capital pressure building. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
NMB,2074/2075,0,0.5552207836088379,0.568386035818053,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
NMB,2075/2076,1,0.6983683405330197,0.3724771388952194,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high."
NMB,2076/2077,0,0.6429202685478159,0.5956544799181355,False,Fundamentals are mixed: Capital cushion strengthening is offset by Margin compression. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended.
NMB,2077/2078,0,0.5611186945435953,0.3684868346820708,False,Fundamentals are mixed: no clear positive fundamental signal is offset by Margin compression. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended.
NMB,2078/2079,1,0.4098825156131719,0.7054837623291711,False,Fundamentals are mixed: Liquidity-pressure building is offset by Margin compression. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence is moderate; supplementary review is recommended.
NMB,2079/2080,1,0.5187021753569026,0.5653242077645622,True,Fundamentals are mixed: Capital cushion strengthening is offset by no material downside attribution. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
NMB,2080/2081,0,0.6298065339508602,0.5920932915426996,False,Fundamentals are mixed: Margin expansion is offset by Capital pressure building. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended.
NMB,2081/2082,1,0.5558521208354079,0.6753601473002848,True,Fundamentals are mixed: Capital cushion strengthening is offset by Funding pressure easing. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
PCBL,2074/2075,0,0.5793736884618583,0.5659616364411687,True,Fundamentals are mixed: Funding pressure rising is offset by Liquidity-pressure reducing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended.
PCBL,2075/2076,1,0.6516349296040845,0.601335393775265,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high."
PCBL,2076/2077,0,0.6435999371697882,0.5795283727881145,False,Fundamentals are mixed: Capital cushion strengthening is offset by Margin compression. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high.
PCBL,2077/2078,0,0.6507435096169559,0.3683713124058279,False,"Fundamentals are strong, supported by Margin expansion. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
PCBL,2078/2079,1,0.2945117604973437,0.7055071055283394,False,"Fundamentals indicate weakening, driven by Margin compression. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence in this assessment is high."
PCBL,2079/2080,0,0.5519359151039295,0.5,True,Fundamentals are mixed: Margin expansion is offset by Funding pressure easing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
PCBL,2080/2081,1,0.6667886035997143,0.5922550530004891,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
PCBL,2081/2082,0,0.619710999960837,0.6753601473002848,False,Fundamentals are mixed: Capital cushion strengthening is offset by Funding pressure easing. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
SANIMA,2074/2075,0,0.54386454659314,0.5677138475630464,True,Fundamentals are mixed: Funding pressure rising is offset by Margin compression. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
SANIMA,2075/2076,0,0.6916039567741787,0.3700837551599303,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
SANIMA,2076/2077,0,0.652000670128185,0.5798810738409896,False,"Fundamentals are strong, supported by Funding pressure rising. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high."
SANIMA,2077/2078,0,0.5500417903865744,0.5563827371130087,True,Fundamentals are mixed: no clear positive fundamental signal is offset by Margin compression. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended.
SANIMA,2078/2079,1,0.3421040727111638,0.7011456723063453,False,"Fundamentals indicate weakening, driven by Capital pressure building. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence in this assessment is high."
SANIMA,2079/2080,0,0.6615352305090789,0.375317989187432,False,"Fundamentals are strong, supported by Margin expansion. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high."
SANIMA,2080/2081,0,0.5716412957621109,0.6282073281369588,False,Fundamentals are mixed: Margin expansion is offset by Funding pressure easing. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high.
SANIMA,2081/2082,0,0.5300160471960698,0.6065309918310136,False,Fundamentals are mixed: no clear positive fundamental signal is offset by Funding pressure easing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended.
SCB,2074/2075,0,0.5687353031415942,0.5600018438005687,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
SCB,2075/2076,0,0.7054874347767196,0.3716271473613081,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high."
SCB,2076/2077,1,0.5767665599153053,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
SCB,2077/2078,0,0.5432034945005161,0.5,True,Fundamentals are mixed: Margin expansion is offset by Liquidity-pressure reducing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
SCB,2078/2079,1,0.5478719998608992,0.7055041564906264,True,Fundamentals are mixed: Liquidity-pressure building is offset by Funding pressure easing. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence is moderate; supplementary review is recommended.
SCB,2079/2080,1,0.6989598453750956,0.3682748491916316,False,"Fundamentals are strong, supported by Margin expansion. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high."
SCB,2080/2081,0,0.6989306965660523,0.3684388146977982,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
SCB,2081/2082,0,0.5508895874725726,0.5,True,Fundamentals are mixed: no clear positive fundamental signal is offset by Liquidity-pressure reducing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
